TIME,RPM,TPS,MAP,Sonda_Geral,2-step,Velocidade_de_tração
18.780,3507,0.0,0.00,0.440,ON,51.0
18.820,3507,0.0,0.00,0.440,ON,51.0
18.860,3507,0.0,0.00,0.440,ON,51.0
18.900,3507,0.0,0.00,0.440,ON,51.0
18.940,3507,0.0,0.00,0.440,ON,51.0
18.980,3507,0.0,0.00,0.440,ON,51.0
19.020,3507,0.0,0.00,0.440,ON,51.0
19.060,3507,0.0,0.00,0.440,ON,51.0
19.100,3507,0.0,0.00,0.440,ON,51.0
19.140,3507,0.0,0.00,0.440,ON,51.0
19.180,3507,0.0,0.00,0.440,ON,51.0
19.220,3507,0.0,0.00,0.440,ON,51.0
19.260,3507,0.0,0.00,0.440,ON,51.0
19.300,3507,0.0,0.00,0.440,ON,51.0
19.340,3507,0.0,0.00,0.440,ON,51.0
19.380,3507,0.0,0.00,0.440,ON,51.0
19.420,3507,0.0,0.00,0.440,ON,51.0
19.460,3507,0.0,0.00,0.440,ON,51.0
19.500,3507,0.0,0.00,0.440,ON,51.0
19.540,3507,0.0,0.00,0.440,ON,51.0
19.580,3507,0.0,0.00,0.440,ON,51.0
19.620,3507,0.0,0.00,0.440,ON,51.0
19.660,3507,0.0,0.00,0.440,ON,51.0
19.700,3507,0.0,0.00,0.440,ON,51.0
19.740,3507,0.0,0.00,0.440,ON,51.0
19.780,3507,0.0,0.00,0.440,OFF,51.0
19.820,3507,0.0,0.00,0.440,OFF,51.0
19.860,3507,0.0,0.00,0.440,OFF,51.0
19.900,3507,0.0,0.00,0.440,OFF,51.0
19.940,3507,0.0,0.00,0.440,OFF,51.0
19.980,3507,0.0,0.00,0.440,OFF,51.0
20.020,3507,0.0,0.00,0.440,OFF,51.0
20.060,3507,0.0,0.00,0.440,OFF,51.0
20.100,3507,0.0,0.00,0.440,OFF,51.0
20.140,3507,0.0,0.00,0.440,OFF,51.0
20.180,3507,0.0,0.00,0.440,OFF,51.0
20.220,3507,0.0,0.00,0.440,OFF,51.0
20.260,3507,0.0,0.00,0.440,OFF,51.0
20.300,3507,0.0,0.00,0.440,OFF,51.0
20.340,3507,0.0,0.00,0.440,OFF,51.0
20.380,3507,0.0,0.00,0.440,OFF,51.0
20.420,3507,0.0,0.00,0.440,OFF,51.0
